Title,Labels
the invisible pandemic of drug resistance. The invisible pandemic of drug resistance,"8,9"
andolanjeevi farmers protest narenda modi p chidambaram. The quintessential andolanjeevi,"7,9"
narendra modi rajya sabha farmers protest sedition tavleen singh. When govt shows signs of paranoia  it has dangerous consequences,"7,9"
tears crying narendra modi rajya sabha shalini langer. Let s not be crybabies  the eyes have it,"2,9"
bal gangadhar tilak mahatma gandhi sedition law chakshu roy. Over the years  poets  students  and even a village have been booked under the sedition law,"2,5,9"
inside track car seva vs nature. It did not take long for Delhi s Sunder Nursery garden s splendour to be lost,"1,9"
madhya pradesh bhind police chambal valley dacoits museum phoolan devi. Telling the tale,"2,9"
cricket wasim jaffer resignation uttarakhand coach communalism bcci. Frogs in cricket well,"10,9"
cricket wasim jaffer resignation uttarakhand coach bcci md kaif. Don t infect cricket  please,"10,9"
forty years ago february 13 1981 rift in nam. Forty Years Ago  February 13  1981  Rift In NAM,"5,9,10"
social media twitter capitol hill republic day violence ravi shankar prasad. Big tech vs State,"6,9"
mountains glacial behaviour climate change chamoli disaster development. Mindless  development  could bring more calamities like Chamoli and Kedarnath floods,"1,6,9"
nep education budget allocation covid pandemic rte. Decreased allocations for education  reluctance to recognise pandemic fallout will sharpen educational divide,"3,9,10"
indian parliament congress rahul gandhi family. In Rajya Sabha  Congress listens  in Lok Sabha  it rants. India will decide which works,"2,9,10"
gamestop saga stock market. GameStop frenzy was a singular event  small investors changed the equilibrium,3
national womens day education ramesh pokhriyal nishank. Educating women  educating India,9
farm laws protest modi bjp. Don t repeal   recall the farm laws,"9,7"
narendra modi private sector public sector economy. Wealth of nations,"2,3,9"
india china border standoff ladakh lac. The decision of China and India to disengage should be seen as a first step to ending hostilities,"11,4,9"
india china border dispute ladakh rajnath singh. Standing at ease,"11,4,9"
emmanuel macron france french philosophers ameica american universities postcolonialism michel foucault. The foreign hand,"11,9"
narendra modi public sector economy private sector budget. Modi regime is set to dismantle public sector and the welfare state,"2,3,9"
forty years ago february 12 1981 tamil nadu rail mishap. Forty Years Ago  February 12  1981  Tamil Nadu Rail Mishap,"5,2,9"
instead of waiting for revolution opposition must do hard work of mobilisation farm protests. Instead of waiting for revolution  Opposition must do hard work of mobilisation,"2,7,9"
tyranny of the mandi msp regime farm laws protests. Govt s agricultural reforms allow for greater access to investment  job creation in rural sector,"3,7,9"
twitter accounts suspended farm laws protests modi govt social media. In the Twitter-govt faceoff  an undemocratic provision of law is being applied to its maximum threshold,"2,9"
narendra modi academic freedom universities webinars. Modi govt has mounted biggest attack yet on academic freedom with its diktat on international webinars,"2,9"
union budget atmanirbhar bharat modi tejasvi surya. A Budget for Atma Nirbhar India,"3,10"
morarji desai assam movement foreign nationals forty years ago. February 11  1981  Forty Years Ago  Govt Seeks Out Desai,"5,10"
new zealands parliament colonial hierarchies mp ejected. No tie-ing down,"2,11"
economic recovery pmi manufacturing index gst revenues. Picking up pace,"3,10"
chamoli flash flood uttarakhand disaster mountain ecosystem. Tread softly,"1,4,9,10"
farm crisis indian farmers agricultural reform. India s farm crisis is of the middle peasant  not the chhota kisan,"7,9,10"
mtp bills proposal for a bureaucracy to vet abortions is ill judged and impractical. MTP Bill s proposal for a bureaucracy to vet abortions is ill-judged and impractical,"2,9,10"
national rail plan maps existing railway network on a gis platform identifies gaps. National Rail Plan maps existing railway network on a GIS platform   identifies gaps,"9,10"
joe biden us president foreign policy donald trump. Biden presidency is likely to deviate from Trump administration on foreign policy  climate change  race relations,"9,10,11"
holocaust victims antisemitism jewish community. Memory of holocaust calls for unflagging vigil against antisemitism,"11,9"
the revenge of retail investors. The revenge of retail investors,3
tamil settlers katchal islands sri lanka. Tamil settlers  existential crisis,"11,9,10"
indian parliament jammu and kashmir leaders farewell. Bitter sweet,"2,9,10"
farm produce food inflation indian farmers protest covid. Good auguries,"8,7,9,10"
anti national online content mha circular it act. Citizen vs citizen,"9,10"
vijay mallya extradition uk jail. India must not allow UK to stall or delay Vijay Mallya s extradition,"10,11"
for pakistan indias past must serve as a guide for india pakistans present could be an example and a warning. Lessons that India  Pakistan can learn from each other,"11,9"
nam meet geo political conflict forty years ago. February 10  1981  Forty Years Ago  NAM meet begins,"11,9,4"
farm laws sc order parliament constitutionality of bills. Parliament must ask itself whether it rigorously scrutinises constitutionality of bills before it,"2,9,10"
budget health sector ayushman bharat covid. Four important things that ail the health sector did not find place in the budget,"3,8,9"
hindu nationalism mandal commission upper caste politics modi govt. Rise of Hindutva has enabled a counter-revolution against Mandal s gains,"5,9,10"
healthcare technology telemedicine. The salience of digital medical services was highlighted during the pandemic,"6,8,9"
farmers protest gandhi satyagraha. The Gandhian ideal of satyagraha can be recognised in the movement against farm laws,"5,7,9"
pan african movement leader mwazulu diyabanza african artefacts british museum. Thieves and others,"5,9,11"
sabarimala kerala assembly polls supreme court congress. Sabarimala slip,"2,9,10"
forty years ago february 9 1981 pak on afghan talks. Forty years ago  February 9  1981  Pak on Afghan talks,"9,11"
union budget 2021 economy nirmala sitharaman. Budget s strategy of fiscal consolidation  compressing expenditure  could prove to be a costly miscalculation,"9,10,3"
coronavirus vaccine fake news free speech. States must stop clamping down on free speech in name of fake news,"9,10,8"
farm laws agitation framers msp agriculture sector india. Agitation against farm laws only serves interest of rich  elite farmers,"9,10,7"
world wants india to do well but compulsions of domestic politics are leading to revival of cold war bogey. World wants India to do well. But compulsions of domestic politics are leading to revival of Cold War bogey,"9,10,11"
farmers protest delhi border narendra modi farm bills. The form of reform,"7,9,10"
modi government international criticism india foreign policy. Govt s ability to overcome international criticism depends on rebuilding national consensus on key policies  healing social rifts,"9,10"
time for a defence unicorn. Time for a defence unicorn,"9,10,6"
twitters free speech dilemma. Twitter s free speech dilemma,"2,6,9,10"
fourty years ago february 8 1981 circus fire tragedy. Fourty Years Ago  February 8  1981  Circus Fire Tragedy,"9,10"
us president joe biden donald trump paris accord us foreign. The new Washington,"9,11"
budget 2021 economy nirmala sitharaman. Budget 2021 embarks on three paradigm shifts. Execution and fiscal-monetary coordination will be key,"2,8,3"
farmers protest republic day violence farm laws. Farmers  agitation frames the power   and challenge   of non-violent protest,"9,10,7"
like republicans against trumpism dissenters within bjp must speak up. Like Republicans against Trumpism  dissenters within BJP must speak up,"9,10,11"
insolvency and bankruptcy code corporate debt resolution process. The Insolvency and Bankruptcy Code allows the market to make the most efficient choice,"9,3"
joe biden india us relationsforeign policy modi govt. Meenakshi Ahamed s book shows why Indo-US ties have progressed despite personal inclinations of those in office,"9,11"
jammu kashmir article 370 4g restoration ddc. 18 months on,"2,9,10"
union budget 2021 nda migrants unemployment. The budget s urban blind spot,"9,3"
the events of january 26 and a narrative of convenience. The events of January 26 and a narrative of convenience,"9,10"
farmers protest rihanna greta modi. Mishandling of farmers  agitation has damaged PM Modi s carefully cultivated image as a world statesman,"9,10,7"
covid 19 students schools. Classrooms are all about engagement between a teacher and students  where they can learn and grow,"10,8,9"
budget 2021 economy nirmala sitharaman. A calculating head  but no heart,"3,9"
covid 19 india travelling. Fresh spurt of cases bring to fore questions of responsibility we need to continue making in 2021,"8,9"
india buddhism ashoka nalanda. Whatever we have today in Brahminism is a twisted history of Buddha s work,"9,5"
rbi mpc interest rates. Staying the course,3
court appears to be leaning towards government in cases of individual liberties. Court appears to be leaning towards govt in cases of individual liberties,"2,9"
d n jha historian dead. The myth-buster,10
d n jha historian. D N Jha was fearless in his evocation of pluralism  dissent and rationality,9
nationalism new india protest democracy pb mehta. A letter to the misunderstood men and women who are creating New India through Unity in Purity,9
india farming laws labour market. Laws that have distorted agriculture and labour markets need to go,"9,7"
nirmala sitharamam indian economy budget. Sitharaman has faced down critics to unshackle India s economic growth story,"9,10,3"
dna technology bill. Mark of a crime,"9,6"
covid 19 vaccine india justice chandrachur singh. Vaccine and justice,"9,8"
west asia after trump. West Asia  after Trump,"9,11"
bihar uttarakhand police social media. Police states,9
india england test match tour. Tandoori Ashes,11
forty years ago february 5 1981 status quo on states. Forty Years Ago  February 5  1981  Status Quo On States,"5,3"
economic survey 2020 21 union budget covid 19 pandemic public health services. Despite FM s emphasis on health in budget speech  the actual allocations are disappointing,"8,9,3"
the prime minister has renewed offer for dialogue the farmers must gracefully accept the. PM has renewed offer for dialogue. The farmers must gracefully accept the offer,"9,7"
india sri lanka colombo port. Colombo steps back,"4,11"
tandav row supreme court. SC remarks on  Tandav  strike against idea of independent republic of arts,"9,2"
farmers protest delhi bjp farm laws. From Delhi s borders  govt sends out a message  Power and people are clearly separated,"9,2"
its focus is on post covid growth building back lives and livelihoods. Budget s focus is on post-Covid growth  building back lives and livelihoods,"8,9,3"
sea of sorrows tamil nadu fishermen sri lankan navy. Sea of sorrows,"11,4"
bails courts pandemic under trial prisoners. Bails during andemic  and beyond,"10,9"
union budget 2021 gdp economy. Budget 2021 shows govt is set for a fiscal push. Baton has once again passed to the RBI,3
finance commission 2021 report. A considered balance,3
pandering to extremists ruining economy pakistan pm imran khan is running out of time. Pandering to extremists  ruining economy  Pak PM is running out of time,11
delhi police farmers protest. Prickly heat,7
indian economy fiscal deficit 2021. Budget 2021 s turn to fiscal activism could have positive multiplier effects,3
forty years ago february 4 1981 judges transfers. Forty Years Ago  February 4  1981   Judges  Transfers,9
activists and farm leaders have constructed a movement by repeating a misinformation deceiving farmers and undermining national unity. Farm leaders have constructed a movement by repeating misinformation  undermining national unity,"10,7,9"
the farmers right to protest. Attempts to restrict farmers  peaceful agitation violate promise made to citizens by framers of our Constitution,"7,2"
myanmar army coup. You re the punchline,"10,11"
a predictable turn in myanmar. A predictable turn in Myanmar,"10,11"
rule by circular. Rule by circular,10
forty years ago february 3 1981 lic workers strike. Forty Years Ago  February 3  1981  LIC workers  strike,"10,9"
budget like farm laws is marred by gap between intentions of government and ground realities of agriculture. Budget  like farm laws  is marred by gap between intentions of government and ground realities of agriculture,3
prioritising growth over fiscal considerations budget lays the foundation for a resilient economic recovery. Budget 2021 lays the foundation for a resilient economic recovery,3
budget 2021 seriously slim. Seriously slim,3
derailment in neighbourhood. Coup is a setback to Myanmar s unique experiment with democracy,"10,11"
budget 2021 remaking the bank. Remaking the bank,3
profession at large must introspect not stand by those spreading fake news. Media profession at large must introspect  not stand by those spreading fake news,"6,9"
budget 2021 indian economy growth covid pandemic. The ailing economy needs much more than what Budget 2021 offers,3
farmers protest parliament binoy visvam. People s republic,7
playing the taiwan card. Playing the Taiwan card,11
union budget 2021 covid pandemic economy growth. Budget puts welcome emphasis on health  infrastructure  privatisation. But lack of income support continues,"8,3"
budget 2021 agriculture research and development subsidy bias fci. In agriculture  R D needs attention  subsidy bias must be corrected,7
a bold leap no playing to gallery. A bold leap  no playing to gallery,9
aung san suu kyi detained myanmar military coup elections. The backsliding,9
forty years ago february 2 1981 gujarats anti quota stir. Forty Years Ago  February 2  1981  Anti-quota stir,9
budget nirmala sitharaman coronavirus pandemic economy rbi. Budget balances next quarter with next quarter-century  blends prudence  ambition,"9,10,3"
india budget 2021 msme sector covid 19 impact economy nirmala sitharaman. Budget 2021 fails to give priority to boosting jobs,"9,3"
union budget 2021 nirmala sitharaman post pandemic economic recovery. Govt is carefully supporting industrial and consumer sentiment to take economy back to pre-pandemic path,"9,3"
sending girls back to school. Sending girls back to school,"9,10,3"
delhi master plan 2041 people participation. From masterplan to peoples plan,"2,9,10"
union budget 2021 15th finance commissions final report. The 15th Finance Commissions final report could be a game changer for cities,3
farmers protest republic day violence farm laws governance parliament. Farmers  protest shows loss of trust in processes of governance  is reminder of the tyranny of laws,7
indian cricket team success manufacturing sector. How Indian cricket team s success can be a model for country s manufacturing sector,3
amu students protest aligarh muslim university strike forty years ago. February 1  1981  Forty Years Ago  AMU Strike,10
pakistan sc wsj journalist daniel pearl omar sheikh. Crime and impunity,11
coronavirus cases covid death health crisis pandemic vaccine. Lives   livelihoods,"8,9"
bombay hc judgement child sexual abuse pocso act. Bombay HC judgment is a hair-splitting exercise that restricts scope of POCSO,"2,9"
economic survey budget gdp covid virus indian economy. Budget 2021 comes in an unusual macroeconomic backdrop. Economic Survey has provided some cues,"3,9"
pandemic and the gender divide. Pandemic and the gender divide,9
why early child development needs urgent focus. Why early child development needs urgent focus,"9,8"
rajinikanths political entry mgr tamil nadu politics. Film stars entering politics in Tamil Nadu have failed to click without a solid grounding in political ideology,"2,10"
bombay hc order minor sexual assault pocso act. Bombay HC s interpretation of POCSO is problematic at several levels,"2,10"
new parliament building shrinking media space lok sabha. Not renewing Lok Sabha passes for journalists seems part of a larger pattern for shrinking media space,2
farmers protest farm laws republic day vandalism. PM Modi must desist from making the repeal of farm laws a prestige issue,7
budget economic recovery farmers protest covid pandemic china. Across the aisle  No expectations  no disappointment,"3,7"
india economic survey budget recovery growth covid pandemic. Economic Survey has set the stage for promoting local production  consumption,3
india coronavirus pandemic lockdown cases deaths. Today marks a year of India s Covid-19 Case No 1. Five lessons for the future,8
mahatma gandhi ideals martyrs day. Mahatma Gandhi s core values should inspire youth today,"5,9"
doomsday clock nuclear holocaust world end. Bickering to the end,"10,11"
economic survey gdp growth imf indian economy. The case for growth,3
farm bill farmers protest journalist fir. With FIR and favour,7
assam dig arrested nsa forty years ago. January 30  1981  Forty Years Ago  Assam DIG arrested,"5,9"
shaibal gupta passed away bihar social scientist. Unravelling the enigma of Bihar was Shaibal Gupta s calling,9
farmers protest republic day agriculture bill. The real darkness on horizon is the turn Indian democracy is taking,9
prescriptions for a post covid budget. Prescriptions for a post-Covid Budget,3
mahatma gandhi gita vaishnava sect hinduism. Gandhi s Gita,"9,5"
yashwant sinha farm laws republic day violence protest agriculture sector modi govt. Farm laws must be redrafted  sent to standing committee on agriculture,7
union budget 2021 nirmala sitharaman covid 19 indian economy fiscal deficit rbi. Fiscal policy will likely play a bigger role in shaping the growth recovery in 2021,3
tamil nadu politics assembly elections mgr aiadmk jayalalithaa karunanidhi kamal haasan. The star cast in Tamil Nadu politics is large  but there are no superstars this time,2
the nations economy rides on the health of its people budget 2021 must acknowledge that. India s economy rides on health of its people. Budget 2021 must acknowledge that,3
covid 19 economy imf gdp growth. On the upswing,3
forty years ago january 29 1981. Forty Years Ago  January 29  1981,9
bombay hcs interpretation of pocso risks making the law redundant. Bombay HC s interpretation of POCSO risks making the law redundant,2
bengal elections abhishek banerjee suvendu adhikari tejashwi yadav. Fighting words,2
tandav supreme court munawar faruqui. A big step back,2
climate refugees and assams future. Climate refugees and Assam s future,"9,1"
covid 19 vaccination india. Vaccination against Covid is off to a good start  but challenges of scaling it up remain,8
the anthropocene era has placed an ethical challenge before the human race. The Anthropocene era has placed an ethical challenge before the human race,"9,10"
coronavirus panndemic wear mask avoid crowded indoor spaces. The worst may be behind us  but it is still important to wear masks  avoid crowds,8
india coronavirus vaccine shots drive herd immunity. Reluctance to take Covid-19 vaccines could hinder achieving herd immunity sooner,8
china galwan ladakh sikkim border lac. A worsening dynamic,"4,11"
child molestation rape pocso sexual assault groping. The wrong precedent,"9,8,10"
sasikala amma jayalalitha tamil nadu politics. The Other Amma,"2,9"
the constitutional promise of equal citizenship has been denied to women dalits. Constitutional promise of equal citizenship has been denied to women  Dalits,"9,2"
pakistan zia ul haq kashmir indira gandhi. Forty Years Ago  January 28  1981,"11,9"
farmers protests delhi punjab red fort farm laws tractor march. Farmers  protest is defined not by waywardness of the few  but by spirit and resilience of the many,"9,2"
mamata banerjee modi kolkata. Mamata Banerjee s response at Netaji event was a breach of constitutional decorum,2
gis imagery technique governance. GIS imagery for citizens  agency,"9,10,2"
india constitution citizen rights constituent assembly b r ambedkar democracy. The Constitution must guide us in crafting a distinctly Indian  climate-friendly development paradigm,"1,2"
n m ghatate dead rss supreme court law commission. N M Ghatate s life mirrored the 20th century journey of Hindu nationalism,9
coronavirus pandemic schools shut india online classes. Children from economically weaker backgrounds have fallen behind as classes shifted to the digital mode,"3,8,9,10"
mexico jose lopez portillo atal bihari vajpayee. Forty Years Ago  January 27  1981,"11,9"
france rural villages maurice. The village song,"11,9"
covid 19 sero survey delhi coronavirus vaccination herd immunity. Keep the vigil,"10,9,8"
republic day farmers protests red fort tractor march. Law   Disorder,"9,10,7"
vaccine is here virus is already in retreat lets just wait our turn. Covid vaccine is here  virus is already in retreat. Let s just wait our turn,"9,8"
agrarian crisis reform agriculture farmers protests farm laws. Return to the old normal may take away from us a very potent opportunity,7
india nepal borders tribals. India  Nepal and the lives on the ground,"11,4"
lessons in popular resistance. Lessons in popular resistance,9
india democracy republic day 2021 modi govt secularism. Indian republic is based on a consensus-building model derived from our historical legacies,9
union budget 2021 gender equality india rural women nirmala sitharaman. Budget 2021 must push for women-led development and economic recovery,3
beef ban love jihad law modi govt secularism. Beef ban   love jihad  laws  degrading of protesters undermine the idea and promise of fraternity,"2,9"
republic day nehru farmers protest subhash chandra bose modi mamata. A new conversation takes place on the Constitution. Rumbling of tractors announces a new spectacle,2
income inequality rich poor divide covid 19 pandemic oxfam. Widening gulf,"11,3,9,10"
larry king death cnn. It takes two,9
india republic day farmers china. This Republic Day,2
industry has a critical role to play in covid vaccination programme. Indian industry has a critical role to play in Covid vaccination programme,8
farmers protests caa citizenship act stir. Tale of two protests,"9,2"
digital services tax not about india vs us. Digital Services Tax  Not about India vs US,"11,6"
reforming capitalism world economic forum 2021. WEF s initiative for  The Great Reset  has set off conspiracy theories on the right and dismissal from the left,"9,3"
swachh lessons for covid times. Swachh Bharat Mission can be a model for caution post the vaccine,9
majority complex bjp narendra modi. BJP believes that its legislative majority makes differing views irrelevant,2
forty years ago january 25 1981. Forty Years Ago  January 25  1981,9
iit education system merit colleges school. Broadening the social base of the faculty at IITs is a necessary step,9
nitish kumar bihar it act elections. Nitish Diminish,2
climate change donald trump joe biden us elections. Changing climate,"11,1"
coronavirus vaccine covid astrazeneca cdsco. Lack of transparency on covid vaccine goes against Centre s draft science policy,"9,8"
needed climate shock absorbers. Needed  Climate shock absorbers,1
who health pollution children breathing. Let the children breathe easy,8
the inescapable lure of neverland. Happenstance placed Ashok Kumar on the school bus in which the victim travelled in,9
firemans diary of calls at night familys plan b. A firefighter s job also takes a toll on his family life,9
a community their voices brushed under the carpet. The narrative of community involved in cleaning task finds no mention in official vocabulary,9
whatsapp leaked chats privacy narendra modi p chidambaram.  Exact words  is a betrayal,6
farmers protest narendra modi r day muslim hindutva tavleen singh. An alternative R-Day parade next week could be beginning of something that bodes ill for PM Modi,7
the listening deficit. The fundamental reform India needs is the process of listening to other perspectives,9
women empowerment domestic work. False hierarchy of gender  caste practices has devalued domestic work. Pandemic has sharpened this inequality,9
indian economy cereal stock covid crisis recession. Imbalances in India s cereal economy need more than a short-term fix,"8,3"
delhi meat traders halal meat jhatka sdmc. Slaughtering sense,"10,2"
bernie sanders joe bidens inauguration. The Sanders style,11
bse sensex stock market foreign investors indian economy. Mount 50K,3
indian economy agriculture. Farm laws are only way to push agriculture out of low-income trap,"7,3"
whatsapp privacy update data protection law. A data protection law would have made WhatsApp privacy update illegal,"8,6"
black money planning commission bond controversy forty years ago. January 23  1981  Forty Years Ago  Bond Controversy,"5,3"
budget health sector allocations. Making health allocations work,"3,8"
india china border lac. Beating the Chinese fait accompli trap,"11,4"
for super middlemen farm laws farmer protests. Centre s farm laws transgress Constitution s federal structure,"9,2"
necessary not essential. Need to control prices of certain commodities is historically contingent,"10,9"
the case for rahane india australia. The case for Ajinkya Rahane,"11,9"
dismissing criticism of vaccines in nationalist language doesnt help in building trust. Dismissing criticism of vaccines in nationalist language doesn t help in building trust,8
national education policy colleges iit iim placements collaboration iit iim. Getting top foreign universities to open campuses requires more institutional autonomy,"9,2"
dragon fruit china kamalam. Slaying the dragon,11
narendra modi farm laws farmers protests. Laws on pause,8
forty years ago january 22 1981. Forty Years Ago  January 22  1981,9
joe biden us president donald trump. Biden s burden,11
discom smart meters privacy com.sorceshare.userstore.security. DISCOM as data custodian,"9,6"
migration a compulsion not a choice. Migration  A compulsion  not a choice,2
muslim votes west bengal assembly elections trinamool congress bjp asaduddin owaisi. Muslim vote in the state seems to be consolidating behind Trinamool,"9,2"
supreme court india judiciary constitution modi govt. Society s values need to be informed by a sense of justice,"9,2"
donald trump twitter ban social media facebook account capitol hill attack. Trust  truth and the financial model of Silicon Valley are at odds,"11,9,3"
v shanta death doctors cancer institute adyar tamil nadu. The good doctor,8
whatsapp data privacy legal loophole. Legal loophole,"9,6"
coronavirus vaccine bangladesh nepal myanmar south asia. Neighbour s pride,8
gabba test australia india victory rishabh pant siraj rahane. The triumph in Gabba is a win to cherish. Indian cricket needs to build on it,"10,11"
digital companies cyber tax g20 countries. Cyber tax conundrum  Digital Service Tax could offer an interim solution,3
iran us hostages ronald reagan. Forty Years Ago  January 21  1981,9
solving the child malnutrition puzzle. Solving the child malnutrition puzzle,"9,8"
women household work payment gender caste. Wages for housework,9
why pm must push for a self confident bharat not a self reliant one. PM Modi must push for a self-confident Bharat  not a self-reliant one,2
rera has placed interests of homebuyers at the heart of the real estate sector. RERA has placed interests of homebuyers at the heart of the real estate sector,3
india china relations foreign policy xi jinping. Know thy neighbour  The study of Chinese history in India is in crisis,11
kamala harriss spouse douglas emhoff second gentleman of united states. Second Gentleman,11
indian cricket brisbane win australia test tour. Cricket  made in India,10
mamata banerjee nandigram bengal assembly election. Battleground Bengal,9
republic day celebration secularism under threat farmers protest. The secular  inclusive character of the country is under threat,2
india us ties joe biden administration us president. Biden faces a polarised society  pandemic  economic crisis. Consensus on India-US ties  though  is likely to continue,"9,10,11"
iran us deal american hostages forty years ago. January 20  1981  Forty Years Ago  Iran-US deal,"9,11"
farmers protest farm laws sikh. In defence of their struggle,7
coronavirus covid 19 vaccine drive inoculation india. Government should offer most effective vaccines  irrespective of geography of origin,8
in defence of their struggle. In defence of their struggle,9
indias victory against divisive politics will come when everyday hindus say enough. India s victory against divisive politics will come when everyday Hindus say enough,"9,2"
kamal morarka dead. Kamal Morarka was a man of many parts who was comfortable in different worlds of diverse India,10
coronavirus recovery covid vacine rollout immunisation policy. Recovery from pandemic may take years. Government must invest in welfare projects,8
joe biden us president capitol hill seige india relations. Biden moment offers Delhi an opportunity to elevate defence cooperation to a higher level,11
ghulam mustafa khan passed away singer bollywood. A singular note,9
covid vaccine roll out modi quotes telugu poet gurajada appa rao. PM Modi quoting Gurajada to reach out to people during covid vaccine rollout is a hopeful gesture,8
covid pandemic gender inequality indian dating app users. The gender firewall,6
iran crisis american hostages us govt forty years ago. January 19  1981  Forty Years Ago  Iran hostage crisis,11
rbi governor shaktikanta das bad bank npas stressed loan. Lending a hand,3
digital lending loan apps rbi banks. Downloading a debt trap,3
let the farmers lead. Let the farmers lead,7
coronavirus pandemic indian economy impacct gdp. Nascent growth recovery  while heartening  will still need government support,3
capitol hill protests attack ayodhya babari masjid demolition. A sense of entitlement to power makes attacks like the one on US Capitol possible,11
crop diversification policy agriculture sector farmers hunger index children malnutrition. Crop diversification policy must address nutritional challenges  bring agriculture in sync with environmental demands,1
forty years ago january 18 1981 hostage crisis lingers. Forty Years Ago  January 18  1981  Hostage Crisis Lingers,9
pradeep gyawali nepal k p oli. Building trust,9
privacy policy online consent illegible. Privacy policies online are illegible and  consent  is broken. New ideas are needed,6
covid 19 narendra modi bihar odisha telangana. Shot circuit,9
donald trump capitol hill us elections. Assault on US Capitol was based on white supremacist beliefs that has marked Trump s politics,"10,11"
right to free vaccine a constitutional mandate. Right to free vaccine   a constitutional mandate,2
modi unveiling vivekananda statue jnu. Vivekananda Statue   inspiration  not occupation,"9,10,2"
split hair health issues head shaves covid pandemic. Why can t the acceptance be extended to a woman who has shaved her head on a whim ,"9,10,8"
covid vaccine approval covaxin pmo bharat biotech serum institute. It s unclear who was responsible for influencing expert committee on Covaxin approval,"9,8"
nirmala sitharaman budget draft economy farm laws farmers protest. Across the aisle   Curiouser and curiouser,"9,10"
scam year 1995 96 narasimha rao. The Chandraswami phenomenon was the other murky facet of the  ghotala  year  25 years ago,9
covid 19 vaccine drive narendra modi. In India  Covid-19 pandemic has brought with it a blessing or two,8
seoul childbirth pregnant women advisory motherhood south korean. Happily unmarried,"10,11"
us president donald trump impeachment capitol violence. After impeachment,"11,10"
covid vaccination drive coronavirus cases pm narendra modi. With hope,8
assam agitation home minister zail singh indira gandhi congress. January 16  1981  Forty Years Ago  Strong hand in Assam,"9,5"
republic day parade preparation covid precautions coronavirus infection. Covid-19  financial considerations call for reconsideration of R-Day spectacle,"9,3"
covid vaccine immunity coronavirus cases nutrition. Vaccine efficacy needs a nutrition booster,"9,8"
union budget 2021 psb privatisation. Budget must take steps towards privatising ownership of public sector banks,"9,10,3"
scihub libgen legal action journals ugc. There is no doubt that Indian higher education requires reforms,"9,10"
india coronavirus herd immunity. Only India stands out with a flattening curve among those that had earlier experienced an explosion of infections,"9,10,8"
what the budget can do for msmes. What the budget can do for MSMEs,"9,3"
making ration shop work for people. Making ration shop work for people,"9,10"
centres divisive campaign will only deepen impasse with farmers. Centre s divisive campaign will only deepen impasse with farmers,"9,10,7"
as president joe biden must reach out to divided us he can establish new conventions. As President  Joe Biden must reach out to divided US. He can establish new conventions,"9,10,11"
the liberal world order is yet to free itself from imperial bias as a report that dubs india a difficult country reveals. The liberal world order is yet to free itself from imperial bias  as a report that dubs India a  difficult  country reveals,"9,10"
forty years ago january 15 1981 samastipur firing. Forty Years Ago  January 15  1981  Samastipur firing,"9,10"
donald trump parler facebook twitter. My truth and yours,"9,10,6,11"
ajit doval kabul afghanistan india peace talks. Peace challenge,"9,10,11"
special marriage act interfatith couples anti conversion law. The correction,"9,10"
covid vaccine misinformation who. Transparency on vaccines is necessary  misinformation must be checked,"9,10,8"
